person_name,person_english_name
,Gong Li
乔宏,Roy Chiao
李连杰,Jet Li
梁朝伟,Tony Leung Chiu-Wai
张曼玉,Maggie Cheung
章子怡,Zhang Ziyi
,Chen Dao-Ming
甄子丹,Donnie Yen
周润发,Chow Yun-Fat
郑佩佩,Cheng Pei-Pei
鲍德熹,Peter Pau
曾江,Kenneth Tsang
吴宇森,John Woo
张耀扬,Roy Cheung
孙佳君,Paulyn Sun
刘嘉玲,Carina Lau
成龙,Jackie Chan
袁和平,Yuen Woo-ping
任达华,Simon Yam
陈凯歌,Chen Kaige
张柏芝,Cecilia Cheung
刘烨,Liu Ye
陈红,Chen Hong
,Mark Williams
王文隽,Manfred Wong
郭富城,Aaron Kwok
杨恭如,Kristy Yang
舒淇,Shu Qi
方中信,Alex Fong
,Christopher Kubheka
杜琪峰,Johnnie To
张学友,Jacky Cheung
刘德华,Andy Lau
李子雄,Waise Lee
林雪,Lam Suet
曾志伟,Eric Tsang
,Karl Maka
许冠杰,Samuel Hui
泰迪罗宾,Teddy Robin
张艾嘉,Sylvia Chang
林子祥,George Lam
曹查理,Charlie Cho
徐克,Tsui Hark
,Ringo Lam
刘家良,Liu Chia-Liang
陈雅伦,Ellen Chan
,Chi Chun Ha
,Mark Houghton
李修贤,Danny Lee Sau-Yin
,Nina Li Chi
黄锦燊,Melvin Wong
潘恒生,Poon Hang-Sang
,Corey Yuen
,Anita Mui
,Bill Tung
林熙蕾,Kelly Lin
邹兆龙,Collin Chou
锺丽缇,Christy Chung
,N!xau
,Lau Siu-Ming
黄霑,James Wong Jim
,Michelle Reis
林青霞,Brigitte Lin
梁家辉,Tony Leung Ka-Fai
星爷,Stephen Chow
元华,Yuen Wah
,Jeffrey Lau
莫文蔚,Karen Mok
洪金宝,Sammo Hung
黄炳耀,Barry Wong
吴耀汉,Richard Ng
,Stanley Fung
胡慧中,Sibelle Hu
林正英,Lam Ching-Ying
狄威,Dick Wei
吴镇宇,Francis Ng
任贤齐,Richie Ren
陈国新,Dennis Chan
袁咏仪,Anita Yuen
王敏德,Michael Wong
吴倩莲,Wu Chien-Lien
谷德昭,Vincent Kok
梁咏琪,Gigi Leung
,Mark King
,Lau Shun
袁祥仁,Yuen Cheung-Yan
袁信义,Yuen Shun-Yi
,Ng See-Yuen
姜大卫,David Chiang
关之琳,Rosamund Kwan
,Paul Fonoroff
莫少聪,Max Mok Siu-Chung
史美仪,Sze Mei-Yee
,Alfred Cheung Kin-Ting
黄秋生,Anthony Wong
黎明,Leon Lai
叶蒨文,Sally Yeh
张敏,Sharla Cheung Man
邱淑贞,Chingmy Yau
黎姿,Gigi Lai
程小东,Ching Siu-Tung
谭咏麟,Alan Tam
王祖贤,Joey Wong
葛民辉,Eric Kot
林海峰,Jan Lamb
温翠苹,Carol Wan
邬君梅,Vivian Wu
,Ti Lung
张国荣,Leslie Cheung
吴孟达,Ng Man Tat
谢贤,Patrick Tse
,Teresa Mo
陈欣健,Philip Chan Yan-Kin
罗烈,Lo Lieh
徐少强,Norman Chu
,Ken Lo
陈德森,Teddy Chan
王宝强,Baoqiang Wang
张家辉,Nick Cheung
孙红雷,Sun Honglei
李滨,Bin Li
黄磊,Huang Lei
张雨绮,Kitty Zhang Yuqi
葛优,Ge You
姜文,Jiang Wen
王学圻,Wang Xue-qi
赵薇,Zhao Wei
吕良伟,Ray Lui
,Xing Yu
徐玟晴,Xu Qing
,Mai Kei
萧芳芳,Josephine Siao
郑少秋,Adam Cheng
陈惠敏,Michael Chan
张卫健,Dicky Cheung Wai-Kin
,Anthony Chan
刘松仁,Damian Lau
,Lam Wai
徐锦江,Elvis Tsui
黄圣依,Eva Huang
罗美薇,May Lo
,Christine Ng
柯受良,Blacky Ko Sau-Leung
惠英红,Kara Hui
郑秀文,Sammi Cheng
杨宝玲,Pauline Yeung
叶德娴,Deannie Yip
朱茵,Athena Chu
罗行堂,Law Kar-Ying
蓝洁瑛,Yammie Lam
蔡少芬,Ada Choi
,Johnnie Kong
陈观泰,Chen Kuan-Tai
吴君如,Sandra Ng Kwun-Yu
,Vincent Wan Yeung-Ming
苑琼丹,Kingdom Yuen
洪欣,Catherine Hung Yan
楚原,Chor Yuen
刘仪伟,Liu Yiwei
,Yonfan
胡军,Hu Jun
,Ann Bridgewater
张涵予,Zhang Hanyu
邓超,Deng Chao
金燕玲,Elaine Jin
,Mabel Cheung
向华强,Charles Heung
谷祖琳,Jo Kuk
许冠文,Michael Hui
吴家丽,Carrie Ng
杨菁菁,Yeung Ching-Ching
黄晓明,Huang xiaoming
陈坤,Chen Kun
徐娇,Xu Jiao
林国斌,Ben Lam
李若彤,Carman Lee
黄子华,Dayo Wong
郑丹瑞,Lawrence Cheng
冯远征,Feng Yuanzheng
